name,type,start_time,duration,"t","speedLimit","gear","driveMode","zeroStart","lightEnable","nSpeedMagnets","wheelDiameter","boostSensitivity","boostStrength","currentLimit","underVoltage","speed","cruiseEnable","powerMagnetType","CRC"
"FocanGZ3-RX","GZ3_RX",12.172775,0.014542,10.463103,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.245217,0.037078,10.535545,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",12.282468,0.014541,10.572796,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.355354,0.037388,10.645682,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",12.393156,0.01454,10.683484,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.464969,0.036037,10.755297,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",12.501751,0.014543,10.792079,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.574891,0.035933,10.865219,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",12.611415,0.014542,10.901742999999998,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.684607,0.034996,10.974935,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",12.720077,0.014541,11.010405,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.794531,0.034894,11.084858999999998,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",12.829737,0.014543,11.120065,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.904249,0.037908,11.194577,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",12.942482,0.014543,11.23281,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.014069,0.036454,11.304397,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",13.051126,0.014543,11.341454,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.123788,0.037077,11.414116,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",13.161781,0.014543,11.452109,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.233924,0.035413,11.524252,"20","3","2","1","1","30","100","2","5","18","31.0","0","0","8","61"
"FocanGZ3-RX","GZ3_RX",13.270414,0.014541,11.560742,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.343747,0.035933,11.634075,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",13.380108,0.014544,11.670436,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.453568,0.035412,11.743896000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",13.489738,0.014542,11.780066,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.563282,0.036451,11.853609999999998,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",13.600419,0.014542,11.890747,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.673202,0.036347,11.96353,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",13.71011,0.014541,12.000438,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.782814,0.036351,12.073142,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",13.819763,0.014541,12.110091,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",13.892742,0.035409,12.18307,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",13.928395,0.014542,12.218723,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.002456,0.035097,12.292784,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.038058,0.014543,12.328386,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.112478,0.035408,12.402806,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.14871,0.014542,12.439038,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.222181,0.036449,12.512509,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.259388,0.014541,12.549716,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.332096,0.035928,12.622424,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.369046,0.014542,12.659374,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.44191,0.036449,12.732238,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.478735,0.014542,12.769063,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.551823,0.035824,12.842151,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.588366,0.014541,12.878694,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.661423,0.0378,12.951750999999998,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.700073,0.014541,12.990401,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.771127,0.03645,13.061455,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.807716,0.014542,13.098043999999998,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",14.880836,0.036552,13.171164,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",14.91837,0.014542,13.208698,,,,,,,,,,,,,,,"151"
